sku,msku,panels,Status,Stauts,,image,,,,,
Black_star_glass,Blackstar_Glass_fba1,CSTE AMAZON,Inactive,Deleted,,,,,,,
tHUG NEW,Blue_thug,CSTE AMAZON,Inactive,Deleted,,,,,,,
CB-2JRA-31IN,Blue_thug,CSTE AMAZON,Inactive,Deleted,,,,,,,
bOHgNJvY,bOHgNJvY,CSTE MEESHO,,,,,#N/A,,,,
bOx5YnOK,bOx5YnOK,CSTE MEESHO,,,,,#N/A,,,,
OCTOPUS-12,BQ-8DSQ-FIDM,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
OCTOPUS-1,BR-KG2Y-N041,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
musicbox_to_my_brave_wife,bravewife_fba,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
BrIM6I5u,BrIM6I5u,CSTE MEESHO,,,,,#N/A,,,,
beatlesmusicbox,brown_beatles_FBA,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
Bts Diary,Bts Diary,CSTE MEESHO,,,,,#N/A,,,,
32541869,BTS Pillow Combo Tata ,CSTE MEESHO,,,,,#N/A,,,,
32805694,BTS Pillow Combo Tata ,CSTE MEESHO,,,,,#N/A,,,,
BTS_keychainBT21koya,BTS_Keychain_fba,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
Keychain_1,BTS_keychainBT21cooky,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
ST-BTS-koya-rj-shooky-cooky,Bts_Koya_RJ_Shooky_Cooky,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
ST-BTS-koya-rj-shooky-cooky-FBA,Bts_Koya_RJ_Shooky_Cooky,CSTE AMAZON,Active,Combo,,#REF!,https://m.media-amazon.com/images/I/61kY5Zf2CHL.jpg,,,,
Bts_Softtoy_Chimmy_fba,BTS_softtoy_Chimmy,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
