Product Name,msku,Opening Stock
Unicorn NP Blue,CSTE_0093_ST_Unicorn_NP_Blue,0
Unicorn NP Purple,CSTE_0094_ST_Unicorn_NP_Purple,0
Unicorn NP Pink,CSTE_0095_ST_Unicorn_NP_Pink,0
Chimmy NP,CSTE_0096_ST_Bts_NP_Chimmy,0
Cooky NP,CSTE_0097_ST_Bts_NP_Cooky,3
Koya NP,CSTE_0098_ST_Bts_NP_Koya,4
Tata NP,CSTE_0099_ST_Bts_NP_Tata,1
Black Furmat Circle,CSTE_0100_HD_Rug_CircleFurmat_Black,0
Black Furmat Square,CSTE_0101_HD_Rug_SquareFurmat_Black,0
Blue Furmat Circle,CSTE_0102_HD_Rug_CircleFurmat_Blue,0
Brown Furmat Circle,CSTE_0103_HD_Rug_CircleFurmat_Brown,0
OrangeAndWhite Furmat Circle,CSTE_0104_HD_Rug_CircleFurmat_OrangeAndWhite,0
Red Furmat Heart,CSTE_0105_HD_Rug_HeartFurmat_Red,0
Orange Furmat Circle,CSTE_0106_HD_Rug_CircleFurmat_Orange,1
Pink Furmat Circle,CSTE_0107_HD_Rug_CircleFurmat_Pink,0
Purple Furmat Circle,CSTE_0108_HD_Rug_CircleFurmat_Purple,2
Red Furmat Circle,CSTE_0109_HD_Rug_CircleFurmat_Red,0
Brown Furmat Square,CSTE_0110_HD_Rug_SquareFurmat_Brown,0
White Furmat Circle,CSTE_0111_HD_Rug_CircleFurmat_White,0
White Furmat Star,CSTE_0112_HD_Rug_StarFurmat_White,0
Yellow Furmat Circle ,CSTE_0113_HD_Rug_CircleFurmat_Yellow,0
White Chairmat Circle,CSTE_0114_HD_Rug_CircleChairMat_White,0
Oct BlueOrange,CSTE_0115_ST_Rev_Oct_BlueOrange,0
Oct BluePurple,CSTE_0116_ST_Rev_Oct_BluePurple,0
Oct BrownWhite,CSTE_0117_ST_Rev_Oct_BrownWhite,0
Oct DarkBluePink,CSTE_0118_ST_Rev_Oct_DarkBluePink,0
Oct Greenyellow,CSTE_0119_ST_Rev_Oct_GreenYellow,0
Oct PurpleGreen,CSTE_0120_ST_Rev_Oct_PurpleGreen,0
Oct RedPink,CSTE_0121_ST_Rev_Oct_RedPink,0
Oct RedYellow,CSTE_0122_ST_Rev_Oct_RedYellow,0
Oct SkyBluePink,CSTE_0123_ST_Rev_Oct_SkyBluePink,0
Reversible Yoda,CSTE_0124_ST_Rev_Yoda_,17
Cat BlueOrange,CSTE_0125_ST_Rev_Cat_BlueOerange,1
Cat RedYellow,CSTE_0126_ST_Rev_Cat_RedYellow,2
Cat SkyBluePink,CSTE_0127_ST_Rev_Cat_SkyBluePink,0
Tiger RedYellow,CSTE_0128_ST_Rev_Tiger_RedYellow,2
Tiger OrangeYellow,CSTE_0129_ST_Rev_Tiger_OrangeYellow,4
Rabbit RedYellow,CSTE_0130_ST_Rev_Rabbit_RedYellow,4
Black FireGlass,CSTE_0131_SG_FireGlass_Black,0
Blue FireGlass,CSTE_0132_SG_FireGlass_Blue,0
Pink FireGlass,CSTE_0133_SG_FireGlass_Pink,0
Black Bat SG,CSTE_0134_SG_Bat_Black,0
Pink Bat SG,CSTE_0135_SG_Bat_Pink,0
Purple Bat SG,CSTE_0136_SG_Bat_Puple,0
Red Bat SG,CSTE_0137_SG_Bat_Red,0
Yellow Bat SG,CSTE_0138_SG_Bat_Yelllow,0
Black Fur SG,CSTE_0139_SG_Fur_Black,0
Black Heart SG,CSTE_0140_SG_Heart_Black,0
Black Thunder SG,CSTE_0141_SG_Thunder_Black,0
Black Fireglass SG,CSTE_0142_SG_FireGlass_Black,0
Black Oval_1SG,CSTE_0143_SG_Oval01_Black,19
BlackGolden Green Shades Square SG,CSTE_0144_SG_Square_BlackGolden-GreenShades,0
